Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,streamDur,Response,versionName,repGoal
Human,2,1,Motor,18,Visual,TE,6.75,4.5,5.81,6.75,5.808,Calibrated,Stream
Human,2,1,Motor,19,Visual,TE,1,1,2.82,5.25,6.668,Calibrated,Target
Human,2,1,Motor,19,Visual,TE,5.25,1,6.67,5.25,6.668,Calibrated,Stream
Human,2,1,Motor,20,Visual,TE,5,5,4.21,6.75,7.584,Calibrated,Target
Human,2,1,Motor,20,Visual,TE,6.75,5,7.58,6.75,7.584,Calibrated,Stream
Human,2,1,Motor,21,Visual,TE,3,3,2.87,6.75,6.079,Calibrated,Target
Human,2,1,Motor,21,Visual,TE,6.75,3,6.08,6.75,6.079,Calibrated,Stream
Human,2,1,Motor,22,Visual,TE,3.5,3.5,3.9,5.25,5.29,Calibrated,Target
Human,2,1,Motor,22,Visual,TE,5.25,3.5,5.29,5.25,5.29,Calibrated,Stream
Human,2,1,Motor,23,Visual,TE,1.5,1.5,1.98,5.75,4.662,Calibrated,Target
Human,2,1,Motor,23,Visual,TE,5.75,1.5,4.66,5.75,4.662,Calibrated,Stream
Human,2,1,Motor,24,Visual,TE,1,1,1.01,6.75,5.321,Calibrated,Target
Human,2,1,Motor,24,Visual,TE,6.75,1,5.32,6.75,5.321,Calibrated,Stream
Human,2,1,Motor,25,Visual,TE,3,3,2.15,5.25,4.553,Calibrated,Target
Human,2,1,Motor,25,Visual,TE,5.25,3,4.55,5.25,4.553,Calibrated,Stream
Human,2,1,Motor,26,Visual,TE,2,2,3.01,4.75,5.839,Calibrated,Target
Human,2,1,Motor,26,Visual,TE,4.75,2,5.84,4.75,5.839,Calibrated,Stream
Human,2,1,Motor,27,Visual,TE,3,3,2.46,7.25,6.217,Calibrated,Target
Human,2,1,Motor,27,Visual,TE,7.25,3,6.22,7.25,6.217,Calibrated,Stream
Human,2,1,Motor,28,Visual,TE,1.5,1.5,1.98,5.25,5.638,Calibrated,Target
Human,2,1,Motor,28,Visual,TE,5.25,1.5,5.64,5.25,5.638,Calibrated,Stream
Human,2,1,Motor,29,Visual,TE,2,2,2,5.75,4.757,Calibrated,Target
Human,2,1,Motor,29,Visual,TE,5.75,2,4.76,5.75,4.757,Calibrated,Stream
Human,2,1,Motor,30,Visual,TE,3,3,1.09,5.75,3.978,Calibrated,Target
Human,2,1,Motor,30,Visual,TE,5.75,3,3.98,5.75,3.978,Calibrated,Stream
Human,2,1,Motor,31,Visual,TE,3,3,2.63,5.25,5.331,Calibrated,Target
Human,2,1,Motor,31,Visual,TE,5.25,3,5.33,5.25,5.331,Calibrated,Stream
Human,2,1,Motor,32,Visual,TE,1,1,1.02,5.75,6.049,Calibrated,Target
Human,2,1,Motor,32,Visual,TE,5.75,1,6.05,5.75,6.049,Calibrated,Stream
Human,2,1,Motor,33,Visual,TE,4,4,2.71,6.75,5.202,Calibrated,Target
Human,2,1,Motor,33,Visual,TE,6.75,4,5.2,6.75,5.202,Calibrated,Stream
Human,2,1,Motor,34,Visual,TE,3,3,3.03,5.25,5.181,Calibrated,Target
