Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Method,Parameter,SOA,Stim_Type_1,Stim_Dur_1,Stim_Type_2,Stim_Dur_2,Accuracy,Reaction_Time,Condition
Human,4,1,1,20,Auditory,TOJ,Adaptive,Duration,0.195,Auditory,0.895,Auditory,0.7,1,N/A,Filled
Human,4,1,1,21,Auditory,TOJ,Adaptive,Duration,0.18,Auditory,0.88,Auditory,0.7,1,N/A,Filled
Human,4,1,1,22,Auditory,TOJ,Adaptive,Duration,0.165,Auditory,0.865,Auditory,0.7,1,N/A,Filled
Human,4,1,1,23,Auditory,TOJ,Adaptive,Duration,0.21,Auditory,0.91,Auditory,0.7,0,N/A,Filled
Human,4,1,1,24,Auditory,TOJ,Adaptive,Duration,0.195,Auditory,0.895,Auditory,0.7,1,N/A,Filled
Human,4,1,1,25,Auditory,TOJ,Adaptive,Duration,0.18,Auditory,0.88,Auditory,0.7,1,N/A,Filled
Human,4,1,1,26,Auditory,TOJ,Adaptive,Duration,0.225,Auditory,0.7,Auditory,0.925,1,N/A,Filled
Human,4,1,1,27,Auditory,TOJ,Adaptive,Duration,0.21,Auditory,0.91,Auditory,0.7,0,N/A,Filled
Human,4,1,1,28,Auditory,TOJ,Adaptive,Duration,0.255,Auditory,0.7,Auditory,0.955,1,N/A,Filled
Human,4,1,1,29,Auditory,TOJ,Adaptive,Duration,0.24,Auditory,0.94,Auditory,0.7,0,N/A,Filled
Human,4,1,1,30,Auditory,TOJ,Adaptive,Duration,0.225,Auditory,0.7,Auditory,0.925,0,N/A,Filled
Human,4,1,1,31,Auditory,TOJ,Adaptive,Duration,0.215,Auditory,0.915,Auditory,0.7,0,N/A,Filled
Human,4,1,1,32,Auditory,TOJ,Adaptive,Duration,0.205,Auditory,0.7,Auditory,0.905,0,N/A,Filled
Human,4,1,1,33,Auditory,TOJ,Adaptive,Duration,0.195,Auditory,0.895,Auditory,0.7,0,N/A,Filled
Human,4,1,1,34,Auditory,TOJ,Adaptive,Duration,0.185,Auditory,0.885,Auditory,0.7,1,N/A,Filled
Human,4,1,1,35,Auditory,TOJ,Adaptive,Duration,0.175,Auditory,0.7,Auditory,0.875,0,N/A,Filled
Human,4,1,1,36,Auditory,TOJ,Adaptive,Duration,0.165,Auditory,0.865,Auditory,0.7,0,N/A,Filled
Human,4,1,1,37,Auditory,TOJ,Adaptive,Duration,0.195,Auditory,0.7,Auditory,0.895,1,N/A,Filled
Human,4,1,1,38,Auditory,TOJ,Adaptive,Duration,0.185,Auditory,0.885,Auditory,0.7,0,N/A,Filled
Human,4,1,1,39,Auditory,TOJ,Adaptive,Duration,0.175,Auditory,0.875,Auditory,0.7,1,N/A,Filled
Human,4,1,1,40,Auditory,TOJ,Adaptive,Duration,0.165,Auditory,0.7,Auditory,0.865,0,N/A,Filled
Human,4,1,1,41,Auditory,TOJ,Adaptive,Duration,0.155,Auditory,0.855,Auditory,0.7,0,N/A,Filled
Human,4,1,1,42,Auditory,TOJ,Adaptive,Duration,0.145,Auditory,0.845,Auditory,0.7,1,N/A,Filled
Human,4,1,1,43,Auditory,TOJ,Adaptive,Duration,0.135,Auditory,0.7,Auditory,0.835,0,N/A,Filled
Human,4,1,1,44,Auditory,TOJ,Adaptive,Duration,0.165,Auditory,0.865,Auditory,0.7,1,N/A,Filled
